_id,name,symbol,contractAddress,chain,logo,decimal,financialData,live,createdAt,updatedAt,__v
{'$oid': '623cd408ff3bd6deaeb3b9bf'},Conjure,CNJ,0x00A55375002f3cDa400383F479e7Cd57Bad029A9,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/12123.png,2,"{'price': 0, 'volume24h': None, 'volumeChange24h': None, 'percentChange1h': None, 'percentChange24h': None, 'percentChange7d': None, 'percentChange30d': None, 'percentChange60d': None, 'percentChange90d': None, 'marketCap': None, 'marketCapDominance': None, 'fullyDilutedMarketCap': None, 'lastUpdated': {'$date': '2022-03-24T20:26:48.312Z'}}",True,{'$date': '2022-03-24T20:26:48.393Z'},{'$date': '2022-03-24T20:26:48.393Z'},0
{'$oid': '623e1d5fd02aba1aed362f99'},Alchemix,ALCX,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/8613.png,18,"{'price': 107.11830477783992, 'volume24h': 23941033.29288571, 'volumeChange24h': 98.6279, 'percentChange1h': -2.59071713, 'percentChange24h': 2.32142785, 'percentChange7d': 9.30977353, 'percentChange30d': -20.50368947, 'percentChange60d': -29.94604254, 'percentChange90d': -47.40542746, 'marketCap': 128138631.82634969, 'marketCapDominance': 0.0064, 'fullyDilutedMarketCap': 167420018.86, 'lastUpdated': {'$date': '2022-03-25T19:50:00Z'}}",True,{'$date': '2022-03-25T19:51:59.218Z'},{'$date': '2022-03-25T19:51:59.218Z'},0
{'$oid': '623e30db29f0a800b9b76b4b'},Aavegotchi,GHST,0x3F382DbD960E3a9bbCeaE22651E88158d2791550,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/7046.png,18,"{'price': 2.012771261108906, 'volume24h': 22229642.93208988, 'volumeChange24h': -26.2485, 'percentChange1h': -0.0839251, 'percentChange24h': -0.8190490300000001, 'percentChange7d': 2.86166081, 'percentChange30d': 1.9680994900000002, 'percentChange60d': 0.51513232, 'percentChange90d': -15.60225555, 'marketCap': 125211404.21640775, 'marketCapDominance': 0.0063, 'fullyDilutedMarketCap': 128762261.81, 'lastUpdated': {'$date': '2022-03-25T21:13:00Z'}}",True,{'$date': '2022-03-25T21:15:07.758Z'},{'$date': '2022-03-25T21:15:07.758Z'},0
{'$oid': '623e30dd29f0a800b9b76b4d'},Decentraland,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/1966.png,18,"{'price': 2.604602184904296, 'volume24h': 462027472.1362607, 'volumeChange24h': -35.9028, 'percentChange1h': 0.08114252, 'percentChange24h': -1.60651805, 'percentChange7d': 6.5770398199999995, 'percentChange30d': -0.74814829, 'percentChange60d': 25.01485821, 'percentChange90d': -30.90464572, 'marketCap': 4794600324.779664, 'marketCapDominance': 0.2399, 'fullyDilutedMarketCap': 5713784124.76, 'lastUpdated': {'$date': '2022-03-25T21:13:00Z'}}",True,{'$date': '2022-03-25T21:15:09.820Z'},{'$date': '2022-03-25T21:15:09.820Z'},0
{'$oid': '623e30df29f0a800b9b76b4f'},Magic Ethereum Money,MEM,0x343e59d9d835e35b07fe80f5bb544f8ed1cd3b11,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/18249.png,18,"{'price': 4.969090568e-06, 'volume24h': 97510.2757768, 'volumeChange24h': 102.6711, 'percentChange1h': -3.10799268, 'percentChange24h': -1.08908046, 'percentChange7d': -20.80117302, 'percentChange30d': 23.76757858, 'percentChange60d': 37.16541453, 'percentChange90d': 37.16541453, 'marketCap': 0, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 4969090.57, 'lastUpdated': {'$date': '2022-03-25T21:13:00Z'}}",True,{'$date': '2022-03-25T21:15:11.304Z'},{'$date': '2022-03-25T21:15:11.304Z'},0
{'$oid': '623e30e129f0a800b9b76b51'},Pickle Finance,PICKLE,0x429881672B9AE42b8EbA0E26cD9C73711b891Ca5,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/7022.png,18,"{'price': 4.283644423236288, 'volume24h': 736507.17732018, 'volumeChange24h': 3.7986, 'percentChange1h': -0.34501619, 'percentChange24h': -2.93990673, 'percentChange7d': 8.50039718, 'percentChange30d': -31.74655404, 'percentChange60d': -32.32975651, 'percentChange90d': -40.63553418, 'marketCap': 8173323.645322405, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 8191967.97, 'lastUpdated': {'$date': '2022-03-25T21:13:00Z'}}",True,{'$date': '2022-03-25T21:15:13.166Z'},{'$date': '2022-03-25T21:15:13.166Z'},0
{'$oid': '623e30e229f0a800b9b76b53'},Augur,REP,0x1985365e9f78359a9B6AD760e32412f4a445E862,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/1104.png,18,"{'price': 14.607278228658382, 'volume24h': 10808674.7285229, 'volumeChange24h': -15.8025, 'percentChange1h': 0.29594838, 'percentChange24h': -0.21113618, 'percentChange7d': 6.39796359, 'percentChange30d': 2.96874556, 'percentChange60d': 19.79960368, 'percentChange90d': -30.84022628, 'marketCap': 160680060.5152422, 'marketCapDominance': 0.008, 'fullyDilutedMarketCap': 160680060.52, 'lastUpdated': {'$date': '2022-03-25T21:14:00Z'}}",True,{'$date': '2022-03-25T21:15:14.625Z'},{'$date': '2022-03-25T21:15:14.625Z'},0
{'$oid': '623e30e429f0a800b9b76b55'},Synthetix,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/2586.png,18,"{'price': 5.075015233053564, 'volume24h': 99378049.10963742, 'volumeChange24h': -32.5275, 'percentChange1h': 0.50460743, 'percentChange24h': -3.29956485, 'percentChange7d': -0.09359911, 'percentChange30d': 30.58052973, 'percentChange60d': 21.25227222, 'percentChange90d': -13.18968748, 'marketCap': 582822529.4230187, 'marketCapDominance': 0.0292, 'fullyDilutedMarketCap': 1078055710.84, 'lastUpdated': {'$date': '2022-03-25T21:14:00Z'}}",False,{'$date': '2022-03-25T21:15:16.412Z'},{'$date': '2022-03-25T21:15:16.412Z'},0
{'$oid': '623fb4705d68f16a7b80d16f'},1inch Network,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/8104.png,18,"{'price': 1.6467333409833191, 'volume24h': 66087236.55299664, 'volumeChange24h': -15.3814, 'percentChange1h': 0.98959476, 'percentChange24h': 4.19383907, 'percentChange7d': 0.11468957, 'percentChange30d': 22.98245737, 'percentChange60d': 3.05945404, 'percentChange90d': -40.22154307, 'marketCap': 681381658.799528, 'marketCapDominance': 0.033800000000000004, 'fullyDilutedMarketCap': 2470100011.47, 'lastUpdated': {'$date': '2022-03-27T00:47:00Z'}}",False,{'$date': '2022-03-27T00:48:48.887Z'},{'$date': '2022-03-27T00:48:48.887Z'},0
{'$oid': '623fc1f017f99988906aa299'},Multichain,MULTI,0x65ef703f5594d2573eb71aaf55bc0cb548492df4,{'$oid': '623c7bc416dc4a608cd24b00'},https://s2.coinmarketcap.com/static/img/coins/64x64/17050.png,18,"{'price': 12.489020831215786, 'volume24h': 436127.9705425, 'volumeChange24h': -92.7927, 'percentChange1h': 0.13967912, 'percentChange24h': -0.76516072, 'percentChange7d': 36.42491521, 'percentChange30d': -0.26599196, 'percentChange60d': -39.32413678, 'percentChange90d': -29.01401632, 'marketCap': 0, 'marketCapDominance': 0, 'fullyDilutedMarketCap': 1248902083.12, 'lastUpdated': {'$date': '2022-03-27T01:45:00Z'}}",False,{'$date': '2022-03-27T01:46:24.287Z'},{'$date': '2022-03-27T01:46:24.287Z'},0
