"","thumbnail","daoName","daoPlatform","totalValueUSD","totalInUSD","totalOutUSD","totalNumMembers","totalNumProposals","totalNumVoters","voterParticipation"
"","PieDAO.jpg","PieDAO","4","73829906.08527412","76656660.33612132","2826754.250847178","2881","1","6","0.2"
"","mstable.jpg","mStable","4","38263266.50591096","119883300.81904794","81620034.31313698","8","29","6","75.0"
"","dxDAO.png","dxDAO","1","17581208.423876587","18556739.227752864","661228.4886982493","444","395","110","24.8"
"","airalab.jpg","Airalab","4","13263696.811908012","41053239.3928987","27789542.58099069","11","116","12","109.1"
"","","Aragon Trust","4","7015477.596825217","24704160.868021443","17688683.271196228","5","60","4","80.0"
"","aragon.png","Aragon Network Budget","4","5903309.746374861","36880896.82915144","31909681.521808762","3","229","4","133.3"
"","metacartelventures.jpg","MetaCartel Ventures","2","5619718.031974494","8810388.504176334","3190670.472201823","99","282","62","62.6"
"","aavegotchi.jpg","Aavegotchi","4","5059662.133724849","35205104.84679989","30145442.71307508","3","4","4","133.3"
"","TheLAO.jpg","The LAO","3","3128791.95054412","7163774.927708657","4034982.977164536","65","133","34","52.3"
"","api3.jpg","API3 DAOv1","4","2991833.307822566","2999532.8391629886","7699.531340422276","30","7","8","26.7"
"","aragon.png","Aragon Network","4","2932121.9134594225","3877472.110700389","945350.1972409667","5","14","4","80.0"
"","dhedge.jpg","Dhedge","4","2248557.0694484813","2633642.7605240718","515002.87796699797","7","10","6","85.7"
"","MolochDAO.jpg","Moloch DAO","2","1752374.891051225","4496715.03539685","2744340.144345624","99","133","56","56.6"
"","bancor.png","Bancor 0x3EcD508F87Ef27417474B0FDF8dd90A3b2B337C9","4","1601786.4605550412","6309852.106760137","4708065.64620509","4263","0","0","0.0"
"","AragonOne.jpg","Aragon One","4","1288507.2990908776","10185263.77541155","8896756.47632067","6","180","6","100.0"
"","decentraland.jpg","Decentraland DAO","4","1191549.1806081794","1191542.7829585723","0","5","18","18","360.0"
"","necDAO.jpg","necDAO","1","432287.43620375666","784298.2927403146","352010.856536558","137","31","38","27.7"
"","","6Ef0c0b0","4","402620.5273319779","5637125.091420125","5234504.564088147","4","133","5","125.0"
"","","MetaCartel v2","2","363175.63580078905","405133.2453705759","41957.60956978693","106","137","18","17.0"
"","","ShieldDao","4","362254.25364965585","512434.4838292398","150180.230179584","15","3","1","6.7"
"","BrightID.jpg","BrightID","4","193715.13179073101","732159.9704867778","539326.7256141538","12","99","14","116.7"
"","Curio.jpg","Curio","4","129214.66641478338","684922.5247794366","555707.8583646532","196","10","24","12.2"
"","ptokens.jpg","pNetwork","4","121437.18378149165","131412.4101723685","9975.226390876733","1268","0","0","0.0"
"","dorg.jpg","dOrg","1","119381.28341760846","725186.317588517","605805.0341709085","29","104","17","58.6"
"","1HiveLLC.png","1HiveLLC","4","102548.01677764661","471124.12462278444","368497.3364028833","1","103","2","200.0"
"","","4c4bf6a8","4","90148.69900853034","11102622.928267749","11012474.229259219","5","127","6","120.0"
"","","Raid Guild War Chest","2","56209.1492818425","96646.64147375461","40379.33174093902","88","173","28","31.8"
"","MachiX.png","Machi X DAO","2","29682.53735076806","31002.96533256546","1320.4279817974025","35","44","6","17.1"
